TERRITORIO,TIPO,CATEGORIA,CASOS,DENOMINADOR,PERCENTUAL
AGUIA BRANCA,SINTOMA,Febre,8,14,57.1
AGUIA BRANCA,SINTOMA,Cefaleia,11,14,78.6
AGUIA BRANCA,SINTOMA,Mialgia,12,14,85.7
AGUIA BRANCA,SINTOMA,Náuseas,3,14,21.4
AGUIA BRANCA,SINTOMA,Dor retro-orbital,1,14,7.1
AGUIA BRANCA,SINTOMA,Vômito,2,14,14.3
AGUIA BRANCA,SINTOMA,Dor nas costas,0,14,0.0
AGUIA BRANCA,SINTOMA,Artralgia intensa,2,14,14.3
AGUIA BRANCA,SINTOMA,Exantema,1,14,7.1
AGUIA BRANCA,SINTOMA,Petéquias,0,14,0.0
AGUIA BRANCA,SINTOMA,Artrite,0,14,0.0
AGUIA BRANCA,SINTOMA,Leucopenia,0,14,0.0
AGUIA BRANCA,SINTOMA,Prova do laço positiva,0,14,0.0
AGUIA BRANCA,SINTOMA,Conjuntivite,0,14,0.0
AGUIA BRANCA,SINAL_ALARME,Hipotensão postural/lipotímia,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Queda abrupta de plaquetas,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Vômitos persistentes,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Dor abdominal intensa e contínua,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Letargia/irritabilidade,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Sangramento de mucosa,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Aumento progressivo do hematócrito,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Hepatomegalia,0,0,0.0
AGUIA BRANCA,SINAL_ALARME,Acúmulo de líquidos,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Pulso débil ou indetectável,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Pressão arterial convergente,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Tempo de enchimento capilar prolongado,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Acúmulo de líquidos com insuficiência respiratória,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Taquicardia,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Extremidades frias,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Hipotensão arterial,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Hematêmese,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Melena,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Metrorragia volumosa,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Sangramento do SNC,0,0,0.0
AGUIA BRANCA,GRAVIDADE,AST/ALT ≥ 1.000,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Miocardite,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Alteração da consciência,0,0,0.0
AGUIA BRANCA,GRAVIDADE,Comprometimento de outros órgãos,0,0,0.0
ALTO RIO NOVO,SINTOMA,Febre,7,7,100.0
ALTO RIO NOVO,SINTOMA,Cefaleia,6,7,85.7
ALTO RIO NOVO,SINTOMA,Mialgia,4,7,57.1
ALTO RIO NOVO,SINTOMA,Náuseas,3,7,42.9
ALTO RIO NOVO,SINTOMA,Dor retro-orbital,0,7,0.0
ALTO RIO NOVO,SINTOMA,Vômito,3,7,42.9
ALTO RIO NOVO,SINTOMA,Dor nas costas,4,7,57.1
ALTO RIO NOVO,SINTOMA,Artralgia intensa,3,7,42.9
ALTO RIO NOVO,SINTOMA,Exantema,1,7,14.3
ALTO RIO NOVO,SINTOMA,Petéquias,5,7,71.4
ALTO RIO NOVO,SINTOMA,Artrite,0,7,0.0
ALTO RIO NOVO,SINTOMA,Leucopenia,0,7,0.0
ALTO RIO NOVO,SINTOMA,Prova do laço positiva,2,7,28.6
ALTO RIO NOVO,SINTOMA,Conjuntivite,0,7,0.0
ALTO RIO NOVO,SINAL_ALARME,Hipotensão postural/lipotímia,0,1,0.0
ALTO RIO NOVO,SINAL_ALARME,Queda abrupta de plaquetas,1,1,100.0
ALTO RIO NOVO,SINAL_ALARME,Vômitos persistentes,0,1,0.0
ALTO RIO NOVO,SINAL_ALARME,Dor abdominal intensa e contínua,0,1,0.0
ALTO RIO NOVO,SINAL_ALARME,Letargia/irritabilidade,0,1,0.0
ALTO RIO NOVO,SINAL_ALARME,Sangramento de mucosa,0,1,0.0
ALTO RIO NOVO,SINAL_ALARME,Aumento progressivo do hematócrito,0,1,0.0
ALTO RIO NOVO,SINAL_ALARME,Hepatomegalia,1,1,100.0
ALTO RIO NOVO,SINAL_ALARME,Acúmulo de líquidos,0,1,0.0
ALTO RIO NOVO,GRAVIDADE,Pulso débil ou indetectável,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Pressão arterial convergente,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Tempo de enchimento capilar prolongado,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Acúmulo de líquidos com insuficiência respiratória,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Taquicardia,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Extremidades frias,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Hipotensão arterial,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Hematêmese,0,0,0.0
ALTO RIO NOVO,GRAVIDADE,Melena,0,0,0.0
